PERIOD,FULL CHARGE CAPACITY,DESIGN CAPACITY
2023-10-08 - 2023-10-12,92350.0,90006.0
2023-10-12 - 2023-10-16,91857.0,90006.0
2023-10-16 - 2023-10-25,91397.0,90006.0
2023-10-25 - 2023-10-30,91084.0,90006.0
2023-10-30 - 2023-11-08,91084.0,90006.0
2023-11-08 - 2023-11-14,91084.0,90006.0
2023-11-14 - 2023-11-20,91084.0,90006.0
2023-11-20 - 2023-11-27,91084.0,90006.0
2023-11-27 - 2023-12-04,90997.0,90006.0
2023-12-04 - 2023-12-14,89869.0,90006.0
2023-12-14 - 2023-12-22,86215.0,90006.0
2023-12-22 - 2023-12-26,86215.0,90006.0
2023-12-26 - 2024-01-01,86215.0,90006.0
2024-01-01 - 2024-01-09,86215.0,90006.0
2024-01-09 - 2024-01-15,86215.0,90006.0
2024-01-15 - 2024-02-03,86215.0,90006.0
2024-02-03 - 2024-02-08,86215.0,90006.0
2024-02-08 - 2024-02-12,86215.0,90006.0
2024-02-12 - 2024-02-20,86215.0,90006.0
2024-02-20 - 2024-03-02,86215.0,90006.0
2024-03-02 - 2024-03-19,84513.0,90006.0
2024-03-19 - 2024-03-29,84026.0,90006.0
2024-03-29 - 2024-04-09,84026.0,90006.0
2024-04-09 - 2024-04-15,84026.0,90006.0
2024-04-15 - 2024-04-22,84026.0,90006.0
2024-04-22 - 2024-04-29,84026.0,90006.0
2024-04-29 - 2024-05-06,84026.0,90006.0
2024-05-06 - 2024-05-14,83212.0,90006.0
2024-05-14 - 2024-05-27,83781.0,90006.0
2024-05-27 - 2024-06-03,84137.0,90006.0
2024-06-03 - 2024-06-12,84137.0,90006.0
2024-06-12 - 2024-06-28,84137.0,90006.0
2024-06-28 - 2024-07-01,84137.0,90006.0
2024-07-01 - 2024-07-08,84137.0,90006.0
2024-07-08 - 2024-07-25,84137.0,90006.0
2024-07-25 - 2024-08-04,82218.0,90006.0
2024-08-04 - 2024-08-15,79780.0,90006.0
2024-08-15 - 2024-08-22,79776.0,90006.0
2024-08-22 - 2024-08-26,79776.0,90006.0
2024-08-26 - 2024-09-03,79776.0,90006.0
2024-09-03 - 2024-09-09,79157.0,90006.0
2024-09-09 - 2024-09-18,78590.0,90006.0
2024-09-18 - 2024-09-23,78348.0,90006.0
2024-09-23 - 2024-09-30,78111.0,90006.0
2024-09-30 - 2024-10-09,78092.0,90006.0
2024-10-09 - 2024-10-14,77252.0,90006.0
2024-10-14 - 2024-10-22,78101.0,90006.0
2024-10-22 - 2024-10-28,77798.0,90006.0
2024-10-28 - 2024-11-06,77714.0,90006.0
2024-11-06 - 2024-11-11,77716.0,90006.0
2024-11-11 - 2024-11-18,77628.0,90006.0
2024-11-18 - 2024-11-25,77197.0,90006.0
2024-11-25 - 2024-12-02,74264.0,90006.0
2024-12-02 - 2024-12-09,74010.0,90006.0
2024-12-09 - 2024-12-16,73798.0,90006.0
2024-12-16 - 2024-12-23,73381.0,90006.0
2024-12-23 - 2024-12-30,72946.0,90006.0
2024-12-30 - 2025-01-06,72464.0,90006.0
2025-01-06 - 2025-01-14,72464.0,90006.0
2025-01-14 - 2025-01-20,72913.0,90006.0
2025-01-20 - 2025-01-27,73522.0,90006.0
2025-01-27 - 2025-02-03,73409.0,90006.0
2025-02-03 - 2025-02-10,72290.0,90006.0
2025-02-10 - 2025-02-17,72772.0,90006.0
2025-02-17 - 2025-02-24,73315.0,90006.0
2025-02-24 - 2025-03-03,72999.0,90006.0
2025-03-03 - 2025-03-10,74968.0,90006.0
2025-03-10 - 2025-03-17,74260.0,90006.0
2025-03-17 - 2025-03-24,73991.0,90006.0
2025-03-24 - 2025-03-25,73876.0,90006.0
2025-03-25 - 2025-03-26,73876.0,90006.0
2025-03-26 - 2025-03-27,73622.0,90006.0
2025-03-27 - 2025-03-28,73825.0,90006.0
2025-03-28 - 2025-03-29,73955.0,90006.0
2025-03-29 - 2025-03-30,73955.0,90006.0
2025-03-30 - 2025-03-31,73955.0,90006.0
2025-03-31 - 2025-04-01,73955.0,90006.0
2025-04-01 - 2025-04-02,73955.0,90006.0
